"lon","lat"
-121.13,37
-121.14,37.005
-121.14,37.009
-121.14,37.013
-121.15,37.016
-121.15,37.022
-121.15,37.027
-121.16,37.031
-121.16,37.035
-121.16,37.039
-121.16,37.043
-121.17,37.046
-121.17,37.049
-121.17,37.055
-121.17,37.058
-121.16,37.061
-121.16,37.064
-121.15,37.067
-121.15,37.07
-121.15,37.074
-121.14,37.079
-121.14,37.084
-121.14,37.089
-121.14,37.095
-121.13,37.099
-121.13,37.097
-121.13,37.093
-121.12,37.085
-121.11,37.08
-121.11,37.076
-121.1,37.074
-121.1,37.071
-121.09,37.068
-121.09,37.065
-121.09,37.062
-121.08,37.058
-121.08,37.054
-121.07,37.05
-121.07,37.046
-121.07,37.041
-121.07,37.036
-121.06,37.031
-121.06,37.025
-121.07,37.021
-121.08,37.02
-121.08,37.022
-121.09,37.025
-121.09,37.026
-121.1,37.025
-121.11,37.023
-121.11,37.02
-121.11,37.015
-121.11,37.01
-121.11,37.003
-121.11,37
NaN,NaN
-119.69,37
-119.69,37.004
-119.69,37.008
-119.68,37.011
-119.68,37.013
-119.67,37.016
-119.67,37.019
-119.66,37.022
-119.66,37.025
-119.66,37.028
-119.65,37.031
-119.65,37.034
-119.64,37.037
-119.64,37.04
-119.63,37.043
-119.62,37.044
-119.62,37.045
-119.61,37.046
-119.6,37.049
-119.6,37.052
-119.6,37.056
-119.6,37.05
-119.6,37.044
-119.6,37.039
-119.6,37.037
-119.6,37.032
-119.6,37.028
-119.61,37.024
-119.61,37.021
-119.62,37.02
-119.62,37.023
-119.63,37.021
-119.63,37.016
-119.64,37.012
-119.64,37.008
-119.64,37.004
-119.65,37.001
-119.65,37
NaN,NaN
-118.73,37.663
-118.73,37.658
-118.73,37.653
-118.73,37.648
-118.73,37.642
-118.72,37.638
-118.72,37.632
-118.72,37.627
-118.72,37.621
-118.72,37.615
-118.72,37.609
-118.72,37.603
-118.72,37.596
-118.72,37.592
-118.71,37.589
-118.72,37.585
-118.72,37.583
-118.73,37.583
-118.74,37.584
-118.75,37.586
-118.75,37.588
-118.76,37.59
-118.76,37.593
-118.77,37.597
-118.77,37.601
-118.77,37.606
-118.77,37.611
-118.77,37.614
-118.76,37.618
-118.75,37.62
-118.75,37.622
-118.74,37.625
-118.74,37.63
-118.74,37.637
-118.74,37.642
-118.74,37.648
-118.75,37.653
-118.75,37.658
-118.75,37.663
-118.75,37.668
-118.75,37.674
-118.75,37.677
-118.74,37.679
-118.74,37.675
-118.74,37.67
-118.73,37.663
NaN,NaN
-118.22,37.087
-118.22,37.082
-118.21,37.077
-118.21,37.072
-118.21,37.066
-118.21,37.06
-118.21,37.055
-118.22,37.051
-118.22,37.051
-118.23,37.052
-118.24,37.055
-118.24,37.059
-118.24,37.063
-118.25,37.069
-118.25,37.075
-118.25,37.081
-118.25,37.087
-118.24,37.093
-118.24,37.095
-118.23,37.096
-118.22,37.094
-118.22,37.09
-118.22,37.087
NaN,NaN
-122,36.962
-122,36.962
-122,36.961
-122,36.961
-122,36.96
-122,36.96
-122,36.959
-121.99,36.959
-121.99,36.958
-121.99,36.958
-121.99,36.959
-121.99,36.959
-121.99,36.959
-121.98,36.958
-121.98,36.957
-121.98,36.956
-121.98,36.956
-121.98,36.955
-121.98,36.955
-121.98,36.954
-121.98,36.954
-121.98,36.954
-121.97,36.954
-121.97,36.954
-121.97,36.957
-121.97,36.957
-121.97,36.958
-121.97,36.959
-121.97,36.959
-121.97,36.959
-121.96,36.966
-121.96,36.968
-121.96,36.97
-121.96,36.97
-121.96,36.97
-121.95,36.971
-121.95,36.971
-121.95,36.971
-121.95,36.972
-121.95,36.972
-121.95,36.972
-121.95,36.973
-121.94,36.974
-121.94,36.974
-121.94,36.976
-121.94,36.976
-121.94,36.977
-121.94,36.977
-121.93,36.977
-121.93,36.977
-121.93,36.977
-121.93,36.976
-121.92,36.976
-121.92,36.975
-121.92,36.975
-121.92,36.974
-121.92,36.974
-121.92,36.973
-121.92,36.972
-121.92,36.972
-121.91,36.972
-121.91,36.971
-121.91,36.971
-121.91,36.971
-121.91,36.97
-121.91,36.97
-121.91,36.969
-121.91,36.969
-121.91,36.968
-121.91,36.968
-121.91,36.967
-121.9,36.966
-121.9,36.966
-121.9,36.966
-121.9,36.965
-121.9,36.965
-121.9,36.964
-121.9,36.963
-121.9,36.963
-121.89,36.959
-121.89,36.959
-121.89,36.958
-121.89,36.957
-121.89,36.953
-121.88,36.953
-121.88,36.951
-121.88,36.949
-121.88,36.949
-121.88,36.948
-121.88,36.948
-121.88,36.946
-121.88,36.945
-121.88,36.944
-121.88,36.943
-121.87,36.938
-121.87,36.937
-121.87,36.936
-121.87,36.936
-121.87,36.935
-121.87,36.934
-121.87,36.934
-121.87,36.933
-121.87,36.932
-121.86,36.932
-121.86,36.932
-121.86,36.931
-121.86,36.928
-121.86,36.928
-121.86,36.927
-121.86,36.926
-121.86,36.924
-121.86,36.923
-121.86,36.922
-121.86,36.921
-121.85,36.919
-121.85,36.917
-121.85,36.915
-121.85,36.914
-121.85,36.913
-121.85,36.911
-121.85,36.91
-121.85,36.909
-121.85,36.908
-121.85,36.906
-121.85,36.905
-121.84,36.903
-121.84,36.902
-121.84,36.901
-121.84,36.901
-121.84,36.899
-121.84,36.898
-121.84,36.896
-121.84,36.895
-121.84,36.895
-121.84,36.894
-121.84,36.892
-121.84,36.891
-121.83,36.887
-121.83,36.886
-121.83,36.886
-121.83,36.884
-121.83,36.883
-121.83,36.882
-121.83,36.881
-121.83,36.879
-121.83,36.878
-121.83,36.877
-121.83,36.877
-121.83,36.876
-121.83,36.875
-121.83,36.873
-121.82,36.872
-121.82,36.871
-121.82,36.87
-121.82,36.869
-121.82,36.868
-121.82,36.868
-121.82,36.867
-121.82,36.866
-121.82,36.865
-121.82,36.862
-121.82,36.862
-121.82,36.861
-121.82,36.859
-121.82,36.858
-121.82,36.858
-121.82,36.855
-121.81,36.855
-121.81,36.854
-121.81,36.853
-121.81,36.852
-121.81,36.852
-121.81,36.852
-121.81,36.851
-121.81,36.85
-121.81,36.85
-121.81,36.849
-121.81,36.848
-121.81,36.846
-121.81,36.845
-121.81,36.843
-121.81,36.842
-121.81,36.841
-121.81,36.84
-121.81,36.838
-121.81,36.837
-121.8,36.833
-121.8,36.831
-121.8,36.83
-121.8,36.829
-121.8,36.827
-121.8,36.826
-121.8,36.826
-121.8,36.823
-121.8,36.822
-121.8,36.819
-121.79,36.818
-121.79,36.816
-121.79,36.814
-121.79,36.812
-121.79,36.812
-121.79,36.811
-121.79,36.809
-121.79,36.809
-121.79,36.808
-121.79,36.807
-121.79,36.807
-121.79,36.806
-121.79,36.804
-121.79,36.802
-121.79,36.801
-121.79,36.8
-121.79,36.798
-121.79,36.798
-121.79,36.797
-121.79,36.795
-121.79,36.795
-121.79,36.793
-121.79,36.792
-121.79,36.79
-121.8,36.789
-121.8,36.788
-121.8,36.786
-121.8,36.784
-121.8,36.783
-121.8,36.782
-121.8,36.781
-121.8,36.779
-121.8,36.778
-121.8,36.776
-121.8,36.775
-121.8,36.772
-121.8,36.772
-121.8,36.77
-121.8,36.769
-121.8,36.767
-121.8,36.766
-121.8,36.761
-121.8,36.759
-121.81,36.758
-121.81,36.757
-121.81,36.756
-121.8,36.754
-121.8,36.754
-121.8,36.752
-121.81,36.752
-121.81,36.752
-121.81,36.753
-121.81,36.752
-121.81,36.752
-121.81,36.726
-121.81,36.726
-121.81,36.725
-121.81,36.724
-121.81,36.723
-121.81,36.72
-121.81,36.717
-121.81,36.715
-121.81,36.714
-121.81,36.714
-121.81,36.713
-121.81,36.712
-121.81,36.711
-121.81,36.709
-121.81,36.707
-121.81,36.702
-121.81,36.702
-121.81,36.7
-121.81,36.698
-121.81,36.697
-121.81,36.697
-121.81,36.695
-121.81,36.694
-121.81,36.693
-121.81,36.69
-121.81,36.686
-121.81,36.685
-121.81,36.684
-121.82,36.682
-121.82,36.681
-121.82,36.679
-121.82,36.678
-121.82,36.677
-121.82,36.676
-121.82,36.676
-121.82,36.675
-121.82,36.674
-121.82,36.672
-121.82,36.671
-121.82,36.669
-121.82,36.668
-121.82,36.666
-121.82,36.665
-121.82,36.664
-121.82,36.663
-121.82,36.662
-121.82,36.662
-121.82,36.66
-121.82,36.658
-121.83,36.657
-121.83,36.656
-121.83,36.655
-121.83,36.654
-121.83,36.652
-121.83,36.651
-121.83,36.651
-121.83,36.65
-121.83,36.648
-121.83,36.646
-121.84,36.645
-121.84,36.644
-121.84,36.642
-121.84,36.641
-121.84,36.64
-121.84,36.639
-121.84,36.638
-121.84,36.638
-121.84,36.634
-121.84,36.633
-121.84,36.632
-121.84,36.631
-121.85,36.629
-121.85,36.628
-121.85,36.627
-121.85,36.626
-121.86,36.615
-121.86,36.614
-121.86,36.612
-121.86,36.612
-121.86,36.612
-121.86,36.611
-121.86,36.61
-121.87,36.609
-121.87,36.609
-121.87,36.608
-121.87,36.608
-121.87,36.607
-121.87,36.606
-121.87,36.606
-121.87,36.605
-121.87,36.605
-121.88,36.604
-121.88,36.604
-121.88,36.603
-121.88,36.603
-121.88,36.602
-121.89,36.602
-121.89,36.603
-121.89,36.603
-121.89,36.604
-121.89,36.605
-121.89,36.606
-121.89,36.606
-121.89,36.607
-121.89,36.609
-121.89,36.61
-121.89,36.611
-121.89,36.611
-121.89,36.612
-121.9,36.613
-121.9,36.614
-121.9,36.617
-121.9,36.621
-121.9,36.622
-121.9,36.623
-121.9,36.623
-121.91,36.623
-121.91,36.624
-121.91,36.624
-121.91,36.625
-121.91,36.625
-121.91,36.626
-121.91,36.626
-121.91,36.626
-121.91,36.627
-121.91,36.629
-121.91,36.63
-121.92,36.63
-121.92,36.63
-121.92,36.63
-121.92,36.631
-121.92,36.631
-121.92,36.632
-121.92,36.633
-121.92,36.633
-121.92,36.635
-121.92,36.635
-121.92,36.637
-121.93,36.637
-121.93,36.638
-121.93,36.638
-121.93,36.638
-121.93,36.638
-121.93,36.638
-121.94,36.639
-121.94,36.639
-121.94,36.638
-121.94,36.638
-121.94,36.638
-121.94,36.636
