"lon","lat"
NaN,NaN
-124.19,40.654
-124.19,40.654
-124.2,40.662
-124.22,40.672
-124.23,40.678
-124.25,40.687
-124.26,40.692
NaN,NaN
-124.16,40.64
-124.16,40.642
NaN,NaN
-124.13,40.617
-124.13,40.617
NaN,NaN
-124.13,40.617
-124.13,40.617
-124.13,40.618
-124.14,40.624
-124.16,40.637
-124.16,40.64
NaN,NaN
-124.1,40.59
-124.11,40.592
-124.12,40.601
-124.13,40.611
-124.13,40.617
NaN,NaN
-124.1,40.59
-124.1,40.59
NaN,NaN
-124.43,40.373
-124.43,40.374
-124.43,40.376
-124.43,40.377
-124.43,40.379
-124.43,40.379
NaN,NaN
-124.64,40.36
-124.65,40.36
NaN,NaN
-124.62,40.361
-124.63,40.36
NaN,NaN
-124.19,40.698
-124.19,40.699
NaN,NaN
-124,39.741
-124,39.739
-124,39.739
-123.99,39.739
-123.99,39.74
-123.99,39.742
NaN,NaN
-125.19,42.094
-125.19,42.088
-125.19,42.084
NaN,NaN
-124.93,42.104
-124.93,42.088
NaN,NaN
-125.03,42.096
-125.03,42.094
-125.03,42.085
NaN,NaN
-125.19,42.079
-125.18,42.069
NaN,NaN
-124.89,42.088
-124.88,42.076
NaN,NaN
-125.03,42.08
-125.03,42.07
NaN,NaN
-124.93,42.084
-124.93,42.073
NaN,NaN
-124.97,42.075
-124.97,42.066
NaN,NaN
-125.18,42.064
-125.18,42.058
-125.18,42.053
NaN,NaN
-124.88,42.072
-124.87,42.064
NaN,NaN
-125.03,42.065
-125.03,42.054
NaN,NaN
-124.93,42.068
-124.93,42.063
-124.93,42.057
NaN,NaN
-124.97,42.062
-124.97,42.051
NaN,NaN
-125.18,42.049
-125.18,42.038
NaN,NaN
-124.86,42.06
-124.85,42.051
NaN,NaN
-125.03,42.049
-125.03,42.038
NaN,NaN
-124.93,42.052
-124.93,42.042
NaN,NaN
-124.97,42.046
-124.97,42.036
-124.97,42.035
NaN,NaN
-124.85,42.048
-124.84,42.036
NaN,NaN
-125.28,42.029
-125.28,42.023
-125.28,42.014
NaN,NaN
-125.18,42.033
-125.18,42.028
-125.18,42.022
NaN,NaN
-125.03,42.033
-125.03,42.023
NaN,NaN
-124.93,42.037
-124.93,42.023
-124.93,42.022
NaN,NaN
-124.97,42.031
-124.96,42.02
NaN,NaN
-125.18,42.018
-125.17,42.007
NaN,NaN
-125.28,42.01
-125.27,41.999
NaN,NaN
-125.03,42.018
-125.03,42.007
NaN,NaN
-124.96,42.015
-124.96,42.005
NaN,NaN
-125.17,42.003
-125.17,41.997
-125.17,41.992
NaN,NaN
-125.27,41.994
-125.27,41.99
-125.27,41.985
-125.27,41.984
NaN,NaN
-125.03,42.003
-125.03,41.992
NaN,NaN
-124.88,42.007
-124.87,42.001
NaN,NaN
-124.96,41.999
-124.96,41.994
-124.96,41.989
NaN,NaN
-125.17,41.987
-125.17,41.976
NaN,NaN
-124.87,41.996
-124.87,41.986
NaN,NaN
-125.27,41.98
-125.26,41.974
-125.26,41.971
-125.26,41.969
NaN,NaN
-125.03,41.987
-125.03,41.977
NaN,NaN
-124.96,41.984
-124.96,41.973
NaN,NaN
-125.17,41.971
-125.17,41.96
NaN,NaN
-125.26,41.966
-125.25,41.956
NaN,NaN
-124.87,41.981
-124.87,41.974
NaN,NaN
-125.03,41.971
-125.02,41.961
-125.02,41.96
NaN,NaN
-124.96,41.968
-124.96,41.964
-124.97,41.957
NaN,NaN
-125.17,41.956
-125.17,41.946
NaN,NaN
-125.25,41.952
-125.24,41.943
